key,year,journal,doi,problem,data,method,main_result_or_relevance,limitation,use_in_article,verification_status
gilbert2023,2023,"Sustainable Energy Grids and Networks",10.1016/j.segan.2023.100998,"LV probabilistic load and peak forecasting","Real smart-meter data and hypothetical LV hierarchy","Forecast fusion and peak forecasting","Peak-focused fusion improves CRPS especially at low aggregation","Hypothetical network hierarchy","Motivation and SEGAN fit","Publisher page and DOI verified"
massidda2023,2023,"Applied Energy",10.1016/j.apenergy.2023.121783,"Residential-community probabilistic total and thermal load forecasting","German residential community","Conformalized quantile regression and causal ML","Demonstrates calibrated day-ahead component forecasts","Community rather than individual dwelling","Recent probabilistic residential context","Publisher page and DOI verified"
austnes2025,2025,"Sustainable Energy Grids and Networks",10.1016/j.segan.2025.101708,"Distribution-system probabilistic load forecasting","Open load and weather data","Empirical copulas with beta kernels","Non-parametric conditional distributions for granular loads","Operational value not the central experiment","Recent SEGAN benchmark","Publisher/repository metadata and DOI verified"
giannuzzo2024,2024,"Applied Energy",10.1016/j.apenergy.2024.122831,"Synthetic high-resolution residential profiles","Confidential smart-meter data","DGAN plus wavelet decomposition","Validates temporal statistics and PV/BESS downstream uses","Training data unavailable","Synthetic-profile validation design","Publisher page and DOI verified"
reis2020,2020,"IET Smart Grid",10.1049/iet-stg.2019.0296,"Synthetic residential demand for energy management","Residential appliance assumptions","Top-down/bottom-up time-varying queues","Generates individual customer and appliance traces","Model assumptions may be region-specific","Synthetic-load background","Publisher page and DOI verified"
hongfan2016,2016,"International Journal of Forecasting",10.1016/j.ijforecast.2015.11.011,"Probabilistic load forecasting review","Multiple studies","Tutorial review","Defines evaluation principles and research agenda","Predates recent deep probabilistic methods","Forecasting framework","DOI and journal metadata verified"
hong2016,2016,"International Journal of Forecasting",10.1016/j.ijforecast.2016.02.001,"Probabilistic energy forecasting and GEFCom2014","Competition datasets","Competition synthesis","Establishes probabilistic benchmarking practice","Broad energy focus","Evaluation design","Publisher/author manuscript and DOI verified"
gneiting2007,2007,"Journal of the American Statistical Association",10.1198/016214506000001437,"Evaluation of predictive distributions","General","Proper scoring-rule theory","Foundation for CRPS and interval-score evaluation","Not power-system-specific","Metric justification","Journal metadata and DOI verified"
koenker1978,1978,Econometrica,10.2307/1913643,"Conditional quantile estimation","General","Quantile regression","Seminal quantile-regression formulation","Linear formulation","Quantile model foundation","JSTOR metadata and DOI verified"
meinshausen2006,2006,"Journal of Machine Learning Research",,"Non-parametric conditional quantiles","Benchmark datasets","Quantile regression forests","Extends forests to full conditional distributions","No DOI assigned by JMLR","ML baseline foundation","JMLR article page verified; no DOI"
thurner2018,2018,"IEEE Transactions on Power Systems",10.1109/TPWRS.2018.2829021,"Open-source power-system analysis","Benchmark networks","pandapower framework","Documents reproducible network modelling and power flow","Software validation does not replace case validation","Simulation platform","Official documentation and DOI verified"
cigre575,2014,"CIGRE Technical Brochure",,"Reference networks for DER integration","CIGRE benchmark systems","Consensus benchmark specification","Common platform for network studies","Technical report without DOI","Definitive LV network","Official eCIGRE record verified; no DOI"
baran1989,1989,"IEEE Transactions on Power Delivery",10.1109/61.25627,"Radial distribution reconfiguration and losses","Test feeders","DistFlow-based approximations","Seminal radial feeder equations","Balanced approximation","Independent solver basis","IEEE/archival metadata and DOI verified"
dupacova2003,2003,"Mathematical Programming",10.1007/s10107-002-0331-0,"Scenario reduction","Electrical-load scenario trees among examples","Probability-metric reduction","Provides principled scenario-set compression","Reduction may lose tail events","Monte Carlo convergence/reduction","Springer page and DOI verified"
schmalstieg2014,2014,"Journal of Power Sources",10.1016/j.jpowsour.2014.02.012,"Lithium-ion ageing","NMC 18650 cell tests","Holistic semi-empirical ageing model","Links operating conditions to capacity loss","Cell chemistry and lab conditions limit transfer","Degradation objective caveat","Publisher/institutional metadata and DOI verified"
deb2002,2002,"IEEE Transactions on Evolutionary Computation",10.1109/4235.996017,"Multi-objective evolutionary optimization","Benchmark problems","NSGA-II","Fast elitist Pareto search","Algorithm is not novel in this application","Optimization method foundation","IEEE metadata and DOI verified"

